iter	Logloss
0	0.6930812518
1	0.6930283725
2	0.6929704436
3	0.6929461574
4	0.6929348234
5	0.6928537667
6	0.6928499362
7	0.692829152
8	0.6927849775
9	0.6927651049
10	0.6927520317
11	0.6927536317
12	0.6927336892
13	0.6927285095
14	0.6927005667
15	0.6926996003
16	0.6926735294
17	0.69262879
18	0.6926214984
19	0.6926060481
20	0.6925918067
21	0.6925804993
22	0.6925659092
23	0.6925518594
24	0.6925353648
25	0.6925187359
26	0.6925066817
27	0.6924816137
28	0.692475254
29	0.6924561279
30	0.6924483531
31	0.6924367017
32	0.6923940594
33	0.6923772763
34	0.6923672666
35	0.6923605664
36	0.6923521872
37	0.6923302258
38	0.6923267241
39	0.6923173505
40	0.6923056682
41	0.6923006729
42	0.6922884889
43	0.6922662866
44	0.6922558764
45	0.6922472535
46	0.6922451538
47	0.6922417264
48	0.6922332343
49	0.6922175142
50	0.6922176446
51	0.6922123322
52	0.6922103955
53	0.6922034328
54	0.6921945969
55	0.6921881841
56	0.6921806251
57	0.6921671889
58	0.6921638305
59	0.69215867
60	0.6921522455
61	0.6921427831
62	0.6921419084
63	0.6921151983
64	0.6920979178
65	0.6920971464
66	0.692090602
67	0.6920858959
68	0.6920663439
69	0.6920548194
70	0.6920442115
71	0.6920328198
72	0.6920130364
73	0.6920081765
74	0.6919962099
75	0.6919963288
76	0.6919872254
77	0.6919753558
78	0.6919738267
79	0.6919661666
80	0.6919592057
81	0.69196032
82	0.6919518009
83	0.691942198
84	0.6919263952
85	0.6919228059
86	0.6919102637
87	0.6918993538
88	0.6918863599
89	0.6918807152
90	0.691874607
91	0.6918654483
92	0.6918568143
93	0.6918530641
94	0.6918479603
95	0.6918343975
96	0.6918268018
97	0.6918201055
98	0.6918093123
99	0.6918046656
100	0.6917963019
101	0.6917934014
102	0.6917901917
103	0.69178236
104	0.6917722694
105	0.6917635027
106	0.6917510491
107	0.691724381
108	0.6917269156
109	0.691717148
110	0.6917063448
111	0.6916942083
112	0.6916868468
113	0.6916760095
114	0.6916742754
115	0.6916594249
116	0.6916444518
117	0.6916410651
118	0.6916258805
119	0.6916181228
120	0.6916175169
121	0.6916083705
122	0.6915967518
123	0.6915986113
124	0.6915946997
125	0.691589533
126	0.6915754302
127	0.6915607172
128	0.6915541952
129	0.6915502809
130	0.691542889
131	0.6915421228
132	0.691538669
133	0.6915275108
134	0.6915231207
135	0.6915136357
136	0.6915041412
137	0.6914987059
138	0.6914907409
139	0.6914821758
140	0.6914786397
141	0.6914706581
142	0.6914642852
143	0.6914552951
144	0.6914375812
145	0.6914400216
146	0.6914315884
147	0.6914119684
148	0.6914076684
149	0.6914034948
150	0.6914029582
151	0.6913954254
152	0.6913905806
153	0.6913792221
154	0.6913730374
155	0.6913681041
156	0.6913644932
157	0.6913568621
158	0.6913530774
159	0.6913499153
160	0.6913315063
161	0.6913283617
162	0.6913257904
163	0.6913235187
164	0.6913176478
165	0.6913167158
166	0.6913145651
167	0.6913156489
168	0.6913093847
169	0.6913049737
170	0.6913010625
171	0.6912882563
172	0.6912838326
173	0.6912800173
174	0.6912772061
175	0.6912738764
176	0.6912701707
177	0.6912663587
178	0.6912581745
179	0.6912431614
180	0.6912403404
181	0.6912347303
182	0.6912273178
183	0.6912224397
184	0.6912053506
185	0.6911983927
186	0.6911971996
187	0.6911930158
188	0.6911911817
189	0.6911888242
190	0.6911855147
191	0.6911735815
192	0.6911649855
193	0.6911549815
194	0.6911535928
195	0.6911471865
196	0.6911424848
197	0.6911377091
198	0.6911289576
199	0.6911305329
200	0.6911271708
201	0.6911200741
202	0.6911155784
203	0.6911095076
204	0.691105482
205	0.6911079064
206	0.6911025675
207	0.6910956289
208	0.6910878937
209	0.6910833476
210	0.6910818643
211	0.6910790937
212	0.6910744853
213	0.6910687541
214	0.6910618977
215	0.6910540846
216	0.6910565478
217	0.691054893
218	0.6910490209
219	0.6910490104
220	0.6910461125
221	0.6910424069
222	0.6910418176
223	0.6910414014
224	0.6910361932
225	0.6910405859
226	0.6910340216
227	0.6910298759
228	0.6910266971
229	0.6910217824
230	0.6910182531
231	0.6910132812
232	0.6910150975
233	0.6910110021
234	0.6910060365
235	0.6910059174
236	0.691006705
237	0.6910018655
238	0.6909992169
239	0.6909963904
240	0.6909938824
241	0.6909937201
242	0.6909921585
243	0.6909909099
244	0.6909913669
245	0.6909905254
246	0.6909823635
247	0.6909790236
248	0.6909761162
249	0.6909740116
250	0.6909748215
251	0.6909673782
252	0.6909667179
253	0.6909649207
254	0.6909627392
255	0.6909564151
256	0.6909541451
257	0.6909563518
258	0.6909487283
259	0.6909498508
260	0.6909473123
261	0.6909443391
262	0.6909413305
263	0.6909400807
264	0.6909358352
265	0.6909346313
266	0.6909270961
267	0.6909295267
268	0.6909292567
269	0.6909289427
270	0.6909282453
271	0.6909251681
272	0.690924605
273	0.6909238769
274	0.6909228327
275	0.6909230278
276	0.6909190646
277	0.6909144609
278	0.6909101118
279	0.690904546
280	0.6909081396
281	0.6909049091
282	0.6909037594
283	0.6909038144
284	0.6908994138
285	0.6908995575
286	0.6908971524
287	0.6908956959
288	0.6908940785
289	0.6908906794
290	0.6908895853
291	0.6908870128
292	0.6908824402
293	0.6908774952
294	0.6908816219
295	0.6908805276
296	0.6908793265
297	0.6908763032
298	0.6908771534
299	0.6908704973
300	0.6908665749
301	0.690863723
302	0.6908609544
303	0.6908592494
304	0.690859197
305	0.6908582361
306	0.6908574495
307	0.6908552877
308	0.6908494061
309	0.6908456879
310	0.6908406189
311	0.6908412443
312	0.6908380873
313	0.6908371678
314	0.6908348298
315	0.6908326595
316	0.6908334185
317	0.6908321896
318	0.6908291591
319	0.6908292919
320	0.6908269597
321	0.690824712
322	0.6908232684
323	0.6908209111
324	0.6908209111
325	0.6908208549
326	0.6908181643
327	0.6908150052
328	0.6908154861
329	0.6908162582
330	0.6908129176
331	0.6908096454
332	0.690808016
333	0.690808069
334	0.6908102306
335	0.6908057269
336	0.6908059378
337	0.6908017161
338	0.6908001637
339	0.6907987783
340	0.6907943651
341	0.690797273
342	0.6907951214
343	0.6907924855
344	0.6907910876
345	0.6907886171
346	0.6907914697
347	0.6907896864
348	0.6907872757
349	0.6907863267
350	0.6907852771
351	0.6907850254
352	0.6907836448
353	0.6907788134
354	0.6907760911
355	0.6907731525
356	0.6907715657
357	0.6907714172
358	0.6907683275
359	0.6907698321
360	0.6907674535
361	0.6907657622
362	0.6907652901
363	0.6907631901
364	0.6907636796
365	0.6907607248
366	0.6907661976
367	0.690765034
368	0.690765034
369	0.6907601652
370	0.6907617726
371	0.6907590784
372	0.6907600304
373	0.6907577028
374	0.6907541442
375	0.690750849
376	0.6907515915
377	0.6907511479
378	0.6907529067
379	0.6907504021
380	0.6907483337
381	0.6907479105
382	0.6907471575
383	0.6907464198
384	0.6907461023
385	0.6907442468
386	0.6907438543
387	0.6907437237
388	0.6907427205
389	0.6907420302
390	0.6907398973
391	0.690740596
392	0.6907388273
393	0.6907382038
394	0.6907363087
395	0.6907351226
396	0.6907335326
397	0.6907332947
398	0.690734787
399	0.6907335187
