iter	Passed	Remaining
0	29	29585
1	57	28781
2	84	27967
3	104	26023
4	120	23988
5	135	22481
6	149	21164
7	162	20129
8	179	19795
9	194	19214
10	209	18814
11	223	18419
12	237	18007
13	250	17638
14	263	17276
15	275	16960
16	288	16676
17	303	16556
18	318	16422
19	331	16230
20	343	16003
21	356	15847
22	369	15681
23	382	15566
24	395	15419
25	407	15273
26	421	15202
27	435	15112
28	448	15012
29	460	14898
30	474	14818
31	488	14772
32	501	14703
33	515	14632
34	527	14540
35	540	14478
36	554	14426
37	567	14370
38	580	14309
39	593	14253
40	606	14196
41	621	14168
42	633	14107
43	647	14058
44	659	13986
45	672	13936
46	682	13829
47	694	13780
48	707	13724
49	720	13688
50	733	13640
51	745	13594
52	758	13558
53	770	13504
54	783	13464
55	796	13433
56	809	13390
57	822	13355
58	834	13310
59	847	13271
60	859	13227
61	871	13178
62	883	13144
63	896	13113
64	910	13091
65	922	13051
66	935	13023
67	947	12990
68	961	12978
69	975	12956
70	987	12921
71	1000	12891
72	1015	12894
73	1030	12896
74	1046	12904
75	1060	12894
76	1073	12863
77	1087	12856
78	1101	12839
79	1114	12816
80	1126	12785
81	1138	12751
82	1152	12734
83	1166	12717
84	1182	12728
85	1196	12715
86	1209	12696
87	1224	12686
88	1237	12671
89	1251	12654
90	1265	12644
91	1279	12623
92	1292	12601
93	1304	12574
94	1317	12553
95	1331	12540
96	1344	12517
97	1358	12501
98	1371	12477
99	1383	12453
100	1396	12433
101	1410	12416
102	1422	12389
103	1435	12364
104	1448	12347
105	1462	12333
106	1475	12311
107	1488	12297
108	1499	12257
109	1512	12239
110	1525	12216
111	1538	12201
112	1551	12176
113	1564	12159
114	1578	12144
115	1590	12123
116	1604	12106
117	1617	12086
118	1629	12065
119	1643	12050
120	1658	12046
121	1670	12025
122	1683	12001
123	1696	11984
124	1710	11970
125	1723	11951
126	1735	11933
127	1748	11912
128	1760	11885
129	1773	11870
130	1787	11855
131	1800	11842
132	1813	11824
133	1825	11800
134	1838	11778
135	1851	11765
136	1864	11743
137	1877	11725
138	1889	11704
139	1904	11699
140	1917	11679
141	1930	11663
142	1944	11650
143	1956	11633
144	1970	11620
145	1983	11602
146	1996	11582
147	2009	11567
148	2021	11543
149	2033	11525
150	2046	11507
151	2059	11491
152	2074	11481
153	2087	11465
154	2100	11449
155	2111	11426
156	2125	11410
157	2138	11398
158	2151	11380
159	2167	11377
160	2181	11368
161	2195	11357
162	2210	11349
163	2224	11339
164	2237	11323
165	2251	11310
166	2264	11294
167	2277	11277
168	2290	11265
169	2304	11251
170	2317	11236
171	2330	11220
172	2344	11207
173	2357	11190
174	2370	11174
175	2382	11156
176	2395	11138
177	2409	11124
178	2421	11107
179	2436	11100
180	2449	11084
181	2462	11068
182	2475	11051
183	2488	11034
184	2502	11024
185	2515	11007
186	2526	10983
187	2538	10965
188	2551	10947
189	2563	10930
190	2576	10913
191	2589	10896
192	2602	10882
193	2615	10867
194	2630	10857
195	2642	10841
196	2655	10824
197	2667	10805
198	2680	10790
199	2694	10776
200	2706	10757
201	2719	10741
202	2732	10727
203	2744	10709
204	2757	10695
205	2771	10682
206	2783	10663
207	2795	10646
208	2807	10626
209	2820	10608
210	2833	10596
211	2846	10580
212	2858	10563
213	2871	10545
214	2884	10531
215	2897	10517
216	2911	10504
217	2922	10484
218	2935	10468
219	2946	10447
220	2958	10429
221	2970	10409
222	2982	10392
223	2993	10371
224	3005	10351
225	3017	10335
226	3030	10320
227	3044	10307
228	3057	10295
229	3071	10281
230	3083	10265
231	3096	10250
232	3109	10234
